Sl. No,Name of Incident,Date,Month,Year,Country,Type of Event,Place Name,Impact,Affected Population,Important Person/Group Responsible,Outcome,latitude,longitude
750,Discovery of Oil in Alberta,13,February,1947,Canada,Economic,"Leduc, Alberta","Led to Alberta's oil boom, transforming Canada's energy sector.",Canadian economy,Imperial Oil,Positive,53.2647566,-113.5525216
751,Balfour Declaration of 1926,18,November,1926,Canada,Political,"London, UK",Recognized Canada and other dominions as autonomous within the British Empire.,Canadians,Imperial Conference of 1926,Positive,51.5080947,-0.1292584
752,Statute of Westminster,11,December,1931,Canada,Legislative,"London, UK",Gave Canada legislative independence from the UK.,Canadians,British Parliament,Positive,51.5080947,-0.1292584
753,Conscription Crisis of 1944,             ,Unknown,1944,Canada,Political,Nationwide,Deepened the divide between English and French Canadians over WWII conscription.,Canadian citizens,William Lyon Mackenzie King,Negative,56.130366,-106.346771
754,Discovery of Insulin,27,July,1921,Canada,Medical,Toronto,Revolutionized the treatment of diabetes globally.,Diabetics worldwide,"Frederick Banting, Charles Best",Positive,43.653226,-79.3831843
755,Joining of Newfoundland,31,March,1949,Canada,Political,Newfoundland,Newfoundland became Canada's tenth province.,Newfoundlanders,Joey Smallwood,Positive,54.2730918,-61.7387586
756,Creation of the Canadian Flag,15,February,1965,Canada,Cultural,Ottawa,Adoption of the red maple leaf flag as the national flag of Canada.,Canadians,Lester B. Pearson,Positive,45.4200572,-75.7003397
757,Official Languages Act,9,September,1969,Canada,Legislative,Nationwide,Made English and French the official languages of Canada.,Canadian citizens,Pierre Elliott Trudeau,Positive,56.130366,-106.346771
758,Patriation of the Canadian Constitution,17,April,1982,Canada,Legislative,Ottawa,Canada gained full sovereignty with the ability to amend its own constitution.,Canadians,"Pierre Elliott Trudeau, Queen Elizabeth II",Positive,45.4200572,-75.7003397
759,Establishment of Nunavut,1,April,1999,Canada,Political,Northern Canada,Creation of Nunavut provided a separate territory for the Inuit people.,Inuit population,Canadian Government,Positive,56.130366,-106.346771
760,Signing of the Magna Carta,15,June,1215,UK,Legal,Runnymede,Foundation of constitutional law,English society,King John of England,Positive,51.40871929999999,-0.5405584999999999
761,Establishment of the Church of England,Unknown,March,1534,UK,Religious Reformation,London,Established a national church separate from the Catholic Church,English population,King Henry VIII,Positive,51.5072178,-0.1275862
762,Defeat of the Spanish Armada,8,August,1588,UK,Military,English Channel,Ensured English naval dominance,English population,Queen Elizabeth I,Positive,55.378051,-3.435973
763,Union of the Crowns,24,March,1603,UK,Political,London,James VI of Scotland also became James I of England, uniting the crowns,"Scottish and English populations, James VI and I",Positive,51.5072178,-0.1275862
764,English Civil War Begins,22,August,1642,UK,Civil War,England,Establishment of Parliamentary supremacy over the monarchy,English population,"King Charles I,  Oliver Cromwell",Mixed,52.3555177,-1.1743197
765,The Restoration of the Monarchy,29,May,1660,UK,Political,London,Restored the monarchy under Charles II,English population,Charles II,Positive,51.5072178,-0.1275862
766,Act of Union with Scotland,1,May,1707,UK,Union,Scotland and England,Formed the Kingdom of Great Britain,Scottish and English populations,Queen Anne,Positive,52.3555177,-1.1743197
767,Industrial Revolution Begins,Unknown,Unknown,1760,UK,Industrial,Various,Initiated industrialization and economic growth,Global population,British inventors and entrepreneurs,Positive,55.378051,-3.435973
768,Act of Union with Ireland,1,January,1801,UK,Union,London,United Great Britain and Ireland,Creating the United Kingdom,"Irish and British populations, Parliament of Great Britain and Ireland",Positive,51.5072178,-0.1275862
769,Battle of Trafalgar,21,October,1805,UK,Military,Trafalgar,Ensured British naval supremacy,Napoleonic France,Admiral Nelson,Positive,51.5007323,-0.1502138
770,Reform Act 1832,Unknown,Unknown,1832,UK,Political Reform,Parliament,Expanded electoral franchise and reformed Parliament,British electorate,Parliament of the United Kingdom,Positive,55.378051,-3.435973
771,Queen Victoria's Reign Begins,20,June,1837,UK,Monarchical,London,Marked the beginning of the Victorian Era,British Empire,Queen Victoria,Positive,51.5072178,-0.1275862
772,"Publication of Darwin's ""On the Origin of Species""",24,November,1859,UK,Scientific,London,Laid the foundation of evolutionary biology,Scientific community,Charles Darwin,Positive,51.5072178,-0.1275862
773,Establishment of the Welfare State,Unknown,Unknown,1948,UK,Social Reform,Various,Introduced the National Health Service and social welfare programs,British population,UK Government,Positive,55.378051,-3.435973
774,Decolonization Begins,Unknown,Unknown,1947,UK,Political,Various,Began the process of decolonizing the British Empire,Colonial territories,UK Government,Mixed,55.378051,-3.435973
775,Suez Crisis,Unknown,Unknown,1956,UK,International Conflict,Suez Canal,Marked the decline of Britain's imperial power,UK and Egypt,UK Government,Negative,29.9667903,32.54982770000001
776,The Beatles' Rise to Fame,Unknown,Unknown,1962,UK,Cultural,Liverpool,Global cultural impact through music,Worldwide,The Beatles,Positive,53.4083714,-2.9915726
777,Falklands War,2,April,1982,UK,Military,Falkland Islands,Reasserted British control over the Falklands,UK and Argentina,UK Government,Mixed,55.378051,-3.435973
778,Good Friday Agreement,10,April,1998,UK,Peace Process,Northern Ireland,Ended most of the violence of the Troubles,Northern Irish population,UK and Irish Governments,Positive,54.7877149,-6.4923145
779,Brexit Referendum,23,June,2016,UK,Political,UK,UK voted to leave the European Union,British population,UK Government,Mixed,55.378051,-3.435973
780,Great Fire of London,2,September,1666,UK,Disaster,London,Destruction of much of medieval London,London's population,Unspecified,Negative,51.5072178,-0.1275862
781,Abolition of the Slave Trade Act,25,March,1807,UK,Legislation,Parliament,Ended British trade in enslaved Africans,British Empire,William Wilberforce,Positive,55.378051,-3.435973
782,First Railway Line Opens,27,September,1825,UK,Transportation,Stockton to Darlington,Inauguration of the modern railway system,British population,George Stephenson,Positive,54.52361,-1.559458
783,Women's Suffrage Achieved,6,February,1918,UK,Social Reform,Parliament,Granted voting rights to women over 30,British women,UK Government,Positive,55.378051,-3.435973
784,Battle of Britain,10,July,1940,UK,Military,Skies over Britain,Key WWII air battle ensuring UK's defense,British population,Winston Churchill,Positive,52.31289719999999,0.0167593
785,National Health Service Established,5,July,1948,UK,Social Reform,UK,Creation of publicly funded healthcare system,British population,Clement Attlee,Positive,55.378051,-3.435973
786,First Human DNA Sequencing,10,May,1997,UK,Scientific,Aldermaston,Significant advancement in genetics and medicine,Global scientific community,Frederick Sanger,Positive,51.3838496,-1.1532939
787,Scottish Devolution Referendum,11,September,1997,UK,Political,Scotland,Established a devolved Scottish Parliament,Scottish population,UK Government,Positive,56.49067119999999,-4.2026458
788,London Underground Bombings,7,July,2005,UK,Terrorism,London,Major terrorist attack on public transport,London's population,Islamist terrorists,Negative,51.5072178,-0.1275862
789,2012 London Olympics,27,July,2012,UK,Sporting Event,London,Showcased UK on global stage and boosted economy,UK and global visitors,International Olympic Committee,Positive,51.5072178,-0.1275862
790,SameUnknownSex Marriage Legalized,29,March,2014,UK,Legislation,UK,Legalization of sameUnknownsex marriage in England and Wales,British LGBTQ+ community,UK Government,Positive,55.378051,-3.435973
791,Scottish Independence Referendum,18,September,2014,UK,Political,Scotland,Scotland voted to remain in the UK,Scottish population,Scottish Government,Positive,56.49067119999999,-4.2026458
792,Grenfell Tower Fire,14,June,2017,UK,Disaster,London,Deadly fire causing significant loss of life and raising safety concerns,London's population,Local authorities,Negative,51.5072178,-0.1275862
793,COVIDUnknown19 Pandemic in the UK,March,Unknown,2020,UK,Health,London and nationwide,Significant impact on public health and economy,British population,UK Government,Negative,51.5072178,-0.1275862
794,Prince Philip's Death,9,April,2021,UK,Royal Event,Windsor,Marked the end of an era in the British monarchy,British population,Royal Family,Negative,51.48034209999999,-0.6157136999999999
795,Introduction of the Penny Post,10,January,1840,UK,Innovation,UK,Revolutionized the postal system,British population,Sir Rowland Hill,Positive,55.378051,-3.435973
796,First Television Broadcast by BBC,2,November,1936,UK,Media,London,Beginning of television broadcasting,British population,BBC,Positive,51.5072178,-0.1275862
797,Signing of the AngloUnknownIrish Treaty,6,December,1921,UK,Political Agreement,London,Established the Irish Free State and ended the Irish War of Independence,Irish population,UK Government,Positive,51.5072178,-0.1275862
798,Creation of the Commonwealth of Nations,28,April,1949,UK,International Organization,London,Formation of an intergovernmental organization of former British colonies,Member states,UK Government,Positive,51.5072178,-0.1275862
799,Start of the Hundred Years' War,Unknown,Unknown,1337,UK,Military,France,Long conflict between England and France,English and French populations,English and French monarchies,Negative,55.378051,-3.435973
800,The Glorious Revolution,Unknown,Unknown,1688,UK,Political,England,Established constitutional monarchy in England,English population,William of Orange,Positive,52.3555177,-1.1743197
801,Battle of Waterloo,18,June,1815,UK,Military,Waterloo,Defeat of Napoleon and end of the Napoleonic Wars,British and allied armies,Duke of Wellington,Positive,51.5048541,-0.1136621
802,Chartist Movement,Unknown,Unknown,1838,UK,Social Movement,Various,Demand for political reforms and workers' rights,WorkingUnknownclass population,Chartist leaders,Mixed,55.378051,-3.435973
803,Discovery of Penicillin,28,September,1928,UK,Medical,St Mary's Hospital,London,Revolutionized medicine and treatment of bacterial infections,Global population,Positive,51.5175558,-0.1742676
804,British Exit from the European Exchange Rate Mechanism,16,September,1992,UK,Economic,UK,'Black Wednesday' financial crisis,British economy,UK Government,Negative,55.378051,-3.435973
805,Queen Elizabeth II's Coronation,2,June,1953,UK,Royal Event,Westminster Abbey,Beginning of the second Elizabethan era,British population,Queen Elizabeth II,Positive,51.4993695,-0.1272993
806,First Cloned Mammal Unknown Dolly the Sheep,5,July,1996,UK,Scientific,Roslin Institute,Advancement in cloning technology,Scientific community,Ian Wilmut and team,Positive,55.8656957,-3.1985786
807,UK Hosts the G8 Summit,17,July,2005,UK,International Politics,Gleneagles,Focus on climate change and Africa's development,Global leaders,UK Government,Positive,56.2831234,-3.7520724
808,Theresa May becomes Prime Minister,13,July,2016,UK,Political,London,Second female Prime Minister in UK history,British population,Conservative Party,Mixed,51.5072178,-0.1275862
809,UK Authorizes COVIDUnknown19 Vaccine,2,December,2020,UK,Health,UK,First country to authorize a COVIDUnknown19 vaccine for emergency use,British and global populations,UK Government,Positive,55.378051,-3.435973
810,Stonehenge Completion,Unknown,Unknown,2500 BC,UK,Prehistoric Monument,Salisbury Plain,Creation of iconic Neolithic monument,Ancient Britons,Neolithic builders,Positive,55.378051,-3.435973
812,First English Parliament,20,January,1265,UK,Political,Oxford,Formation of the first English Parliament,English nobility,Simon de Montfort,Positive,51.7520209,-1.2577263
813,Battle of Agincourt,25,October,1415,UK,Military,Agincourt,Decisive English victory in the Hundred Years' War,English and French armies,Henry V,Positive,55.378051,-3.435973
814,The Plague (Black Death) Arrives in England,Unknown,Unknown,1348,UK,Health,Various,Devastating epidemic that significantly reduced the population,English population,Unknown,Negative,55.378051,-3.435973
815,The Armada Portrait of Elizabeth I,Unknown,Unknown,1588,UK,Cultural,London,Symbolized English victory over the Spanish Armada,English society,Elizabeth I,Positive,51.5072178,-0.1275862
816,Act of Supremacy,3,November,1534,UK,Legislation,Parliament,Confirmed the King's status as head of the Church of England,English Church,Henry VIII,Positive,55.378051,-3.435973
817,Bloody Sunday in Northern Ireland,30,January,1972,UK,Civil Rights,Derry,Civil rights protest turned deadly,Northern Irish civilians,British Army,Negative,54.9964705,-7.3101358
818,The Big Freeze of 1963,Unknown,January,1963,UK,Natural Event,UK,One of the coldest winters on record,British population,Weather conditions,Negative,55.378051,-3.435973
819,UK Hosts the First Rugby World Cup,Unknown,Unknown,1987,UK,Sporting Event,Various,Inaugural Rugby World Cup,International rugby fans,Rugby Football Union,Positive,55.378051,-3.435973
